eventid,time,event

2342970,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342971,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342972,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342973,2021-3-28 16:01,dp 链路状态告警

2342974,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342975,2021-3-28 16:01,100.64.96.13 /ac 磁盘使用率当前值：94.92 %

2342976,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342977,2021-3-28 16:01,HCI-CPU使用率超过百分之八十

2342978,2021-3-28 16:02,HCI-CPU使用率超过百分之八十

2342979,2021-3-28 16:02,HCI-CPU使用率超过百分之八十

2342980,2021-3-28 16:03,HCI-CPU使用率超过百分之八十

2342981,2021-3-28 16:03,HCI-CPU使用率超过百分之八十

2342982,2021-3-28 16:04,dp 链路状态告警

2342983,2021-3-28 16:05,HCI-CPU使用率超过百分之八十

2342984,2021-3-28 16:05,HCI-CPU使用率超过百分之八十

2342985,2021-3-28 16:05,High CPU utilization (over 90% for 5m)

2342987,2021-3-28 16:07,Load average is too high (per CPU load over 1.5 for 5m)

2342993,2021-3-28 16:10,Load average is too high (per CPU load over 1.5 for 5m)

2342994,2021-3-28 16:14,High CPU utilization (over 90% for 5m)

2343179,2021-3-28 16:29,100.64.112.69  30分钟内未收到监控数据

2343181,2021-3-28 16:29,100.64.112.69  30分钟内未收到监控数据

2343182,2021-3-28 16:37,More than 100 items having missing data for more than 10 minutes

2343183,2021-3-28 16:37,Zabbix agent is not available (for 3m)

2343184,2021-3-28 16:38,Zabbix agent is not available (for 3m)

2343185,2021-3-28 16:38,Zabbix agent is not available (for 3m)

2343186,2021-3-28 16:39,Zabbix agent is not available (for 3m)

2343201,2021-3-28 16:39,Zabbix agent is not available (for 3m)

2343206,2021-3-28 16:40,Zabbix agent is not available (for 3m)

2343209,2021-3-28 16:40,Zabbix agent is not available (for 3m)

2343210,2021-3-28 16:40,Zabbix agent is not available (for 3m)

2343775,2021-3-28 16:53,Zabbix agent is not available (for 3m)

2343776,2021-3-28 16:54,High ICMP ping loss

2343777,2021-3-28 16:54,Zabbix agent is not available (for 3m)

2343778,2021-3-28 16:54,Zabbix agent is not available (for 3m)

2343779,2021-3-28 16:54,Zabbix agent is not available (for 3m)

2343780,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343781,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343782,2021-3-28 16:55,High ICMP ping loss

2343783,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343784,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343785,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343790,2021-3-28 16:55,Zabbix agent is not available (for 3m)

2343793,2021-3-28 16:56,Zabbix agent is not available (for 3m)

2343800,2021-3-28 16:56,Zabbix agent is not available (for 3m)

2343809,2021-3-28 16:56,Zabbix agent is not available (for 3m)

2343871,2021-3-28 16:57,Zabbix agent is not available (for 3m)

2344215,2021-3-28 17:26,香港eth1口【和记黄埔】5分钟没有收到数据！

2344216,2021-3-28 17:32,香港eth1口【和记黄埔】5分钟没有收到数据！

2344217,2021-3-28 17:37,dp 链路状态告警

2344218,2021-3-28 17:40,dp 链路状态告警

2346729,2021-3-28 21:08,Zabbix agent is not available (for 3m)

2346730,2021-3-28 21:08,Zabbix agent is not available (for 3m)

2346731,2021-3-28 21:09,Zabbix agent is not available (for 3m)

2346779,2021-3-28 21:10,Zabbix agent is not available (for 3m)

2346785,2021-3-28 21:11,Zabbix agent is not available (for 3m)

2346808,2021-3-28 21:11,Zabbix agent is not available (for 3m)

2347419,2021-3-28 22:00,100.64.0.41  30分钟内未收到监控数据

2347545,2021-3-28 22:00,100.64.48.88  30分钟内未收到监控数据

2348589,2021-3-28 22:03,100.64.112.24  30分钟内未收到监控数据

2348612,2021-3-28 22:03,100.64.224.25  30分钟内未收到监控数据

2348614,2021-3-28 22:03,100.64.96.162  30分钟内未收到监控数据

2348886,2021-3-28 22:04,100.64.16.27  30分钟内未收到监控数据

2348922,2021-3-28 22:17,More than 100 items having missing data for more than 10 minutes

2349241,2021-3-28 22:30,100.64.48.34  30分钟内未收到监控数据

2349799,2021-3-28 23:24,100.64.224.21  30分钟内未收到监控数据

2349800,2021-3-28 23:24,100.64.224.21  30分钟内未收到监控数据

2349801,2021-3-28 23:25,100.64.224.21  30分钟内未收到监控数据

2349802,2021-3-28 23:25,100.64.224.21  30分钟内未收到监控数据

2349803,2021-3-28 23:26,100.64.224.21  30分钟内未收到监控数据

2349804,2021-3-28 23:26,100.64.224.21  30分钟内未收到监控数据

2349805,2021-3-28 23:27,100.64.224.21  30分钟内未收到监控数据

2349806,2021-3-28 23:27,100.64.224.21  30分钟内未收到监控数据

2349807,2021-3-28 23:28,100.64.224.21  30分钟内未收到监控数据

2349808,2021-3-28 23:28,100.64.224.21  30分钟内未收到监控数据

2349809,2021-3-28 23:29,100.64.224.21  30分钟内未收到监控数据

2349810,2021-3-28 23:29,100.64.224.21  30分钟内未收到监控数据

2349987,2021-3-28 23:30,100.64.224.21  30分钟内未收到监控数据

2349994,2021-3-28 23:30,100.64.224.21  30分钟内未收到监控数据

2349995,2021-3-28 23:31,100.64.224.21  30分钟内未收到监控数据

2349996,2021-3-28 23:31,100.64.224.21  30分钟内未收到监控数据

2349997,2021-3-28 23:32,100.64.224.21  30分钟内未收到监控数据

2349998,2021-3-28 23:32,100.64.224.21  30分钟内未收到监控数据

2349999,2021-3-28 23:33,100.64.224.21  30分钟内未收到监控数据

2350000,2021-3-28 23:33,100.64.224.21  30分钟内未收到监控数据

2350001,2021-3-28 23:34,100.64.224.21  30分钟内未收到监控数据

2350374,2021-3-29 0:19,dp 链路状态告警

2350375,2021-3-29 0:22,dp 链路状态告警

2350928,2021-3-29 1:16,dp 链路状态告警

2350929,2021-3-29 1:16,dp 链路状态告警

2350930,2021-3-29 1:16,dp 链路状态告警

2350931,2021-3-29 1:19,dp 链路状态告警

2350932,2021-3-29 1:19,dp 链路状态告警

2350933,2021-3-29 1:19,dp 链路状态告警

2350934,2021-3-29 1:19,dp 链路状态告警

2350935,2021-3-29 1:20,High ICMP ping response time

2350936,2021-3-29 1:21,High ICMP ping response time

2350937,2021-3-29 1:22,dp 链路状态告警

2350938,2021-3-29 1:22,dp 链路状态告警

2350939,2021-3-29 1:23,High ICMP ping response time

2350940,2021-3-29 1:24,High ICMP ping response time

2350941,2021-3-29 1:25,dp 链路状态告警

2350942,2021-3-29 1:25,High ICMP ping response time

2350943,2021-3-29 1:25,High ICMP ping response time

2350944,2021-3-29 1:25,dp 链路状态告警

2350945,2021-3-29 1:25,dp 链路状态告警

2350946,2021-3-29 1:28,dp 链路状态告警

2350947,2021-3-29 1:28,dp 链路状态告警

2350948,2021-3-29 1:28,dp 链路状态告警

2350949,2021-3-29 1:31,dp 链路状态告警

2351130,2021-3-29 1:38,100.64.96.113 /data 磁盘使用率当前值：93.24 %

2351135,2021-3-29 2:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:426 个"

2351136,2021-3-29 2:00,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:33 个"

2351137,2021-3-29 2:02,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351138,2021-3-29 2:03,"北京万门教育科技有限公司-苏州-byod在线数小于18,当前值:17 个"

